ESTADO,UNIVERSIDAD,CAMPUS,Matricula_Total
MÉXICO,UNIVERSIDAD AUTÓNOMA DEL ESTADO DE MÉXICO,UNIDAD ACADÉMICA PROFESIONAL CHIMALHUACÁN,"3,083"
MÉXICO,UNIVERSIDAD AUTÓNOMA DEL ESTADO DE MÉXICO,UNIDAD ACADÉMICA PROFESIONAL CUAUTITLÁN IZCALLI,"1,733"
MÉXICO,UNIVERSIDAD AUTÓNOMA DEL ESTADO DE MÉXICO,UNIDAD ACADÉMICA PROFESIONAL HUEHUETOCA,677
MÉXICO,UNIVERSIDAD AUTÓNOMA DEL ESTADO DE MÉXICO,UNIDAD ACADÉMICA PROFESIONAL NEZAHUALCÓYOTL,"1,709"
MÉXICO,UNIVERSIDAD AUTÓNOMA DEL ESTADO DE MÉXICO,UNIDAD ACADÉMICA PROFESIONAL TEJUPILCO,557
MÉXICO,UNIVERSIDAD AUTÓNOMA DEL ESTADO DE MÉXICO,UNIDAD ACADÉMICA PROFESIONAL TIANGUISTENCO,"1,144"
MÉXICO,UNIVERSIDAD AUTÓNOMA METROPOLITANA,UNIVERSIDAD AUTÓNOMA METROPOLITANA - UNIDAD LERMA,"1,177"
MÉXICO,UNIVERSIDAD BANCARIA DE MÉXICO,UNIVERSIDAD BANCARIA DE MÉXICO,"3,858"
MÉXICO,UNIVERSIDAD CASAURANC,UNIVERSIDAD CASAURANC,115
MÉXICO,UNIVERSIDAD CENTROAMERICANA,UNIVERSIDAD CENTROAMERICANA,438
MÉXICO,UNIVERSIDAD CONTINENTAL,UNIVERSIDAD CONTINENTAL,374
MÉXICO,UNIVERSIDAD DE ATLACOMULCO,UNIVERSIDAD DE ATLACOMULCO,523
MÉXICO,UNIVERSIDAD DE CIENCIAS PENALES Y SOCIALES,UNIVERSIDAD DE CIENCIAS PENALES Y SOCIALES - PLANTEL TLALNEPANTLA,"3,102"
MÉXICO,UNIVERSIDAD DE CUAUTITLÁN IZCALLI,UNIVERSIDAD DE CUAUTITLÁN IZCALLI - PLANTEL BALCONES DEL VALLE,56
MÉXICO,UNIVERSIDAD DE CUAUTITLÁN IZCALLI,UNIVERSIDAD DE CUAUTITLÁN IZCALLI - PLANTEL LIRIOS,"2,095"
MÉXICO,UNIVERSIDAD DE ECATEPEC,UNIVERSIDAD DE ECATEPEC - PLANTEL AGRICULTURA,"3,346"
MÉXICO,UNIVERSIDAD DE ECATEPEC,UNIVERSIDAD DE ECATEPEC - PLANTEL VÍA MORELOS,774
MÉXICO,UNIVERSIDAD DE TENANCINGO,UNIVERSIDAD DE TENANCINGO,182
MÉXICO,UNIVERSIDAD DEL MEDIO AMBIENTE,CENTRO DE INVESTIGACIÓN Y APRENDIZAJE DEL MEDIO AMBIENTE (CIAMA),60
MÉXICO,UNIVERSIDAD DEL MÉXICO CONTEMPORÁNEO,UNIVERSIDAD DEL MÉXICO CONTEMPORÁNEO,241
MÉXICO,UNIVERSIDAD DEL VALLE DE MÉXICO,UNIVERSIDAD DEL VALLE DE MÉXICO - CAMPUS HISPANO,"5,610"
MÉXICO,UNIVERSIDAD DEL VALLE DE MÉXICO,UNIVERSIDAD DEL VALLE DE MÉXICO - CAMPUS LAGO DE GUADALUPE,580
MÉXICO,UNIVERSIDAD DEL VALLE DE MÉXICO,UNIVERSIDAD DEL VALLE DE MÉXICO - CAMPUS LOMAS VERDES,"3,836"
MÉXICO,UNIVERSIDAD DEL VALLE DE MÉXICO,UNIVERSIDAD DEL VALLE DE MÉXICO - CAMPUS TEXCOCO,"1,783"
MÉXICO,UNIVERSIDAD DEL VALLE DE MÉXICO,UNIVERSIDAD DEL VALLE DE MÉXICO - CAMPUS TOLUCA,"2,678"
MÉXICO,"UNIVERSIDAD DEL VALLE DE TOLUCA, S.C.",UNIVERSIDAD DEL VALLE DE TOLUCA,927
MÉXICO,UNIVERSIDAD DIGITAL DEL ESTADO DE MÉXICO,UNIVERSIDAD DIGITAL DEL ESTADO DE MÉXICO,428
MÉXICO,UNIVERSIDAD DIGITAL DEL ESTADO DE MÉXICO,UNIVERSIDAD DIGITAL DEL ESTADO DE MÉXICO PLANTEL UPAEP,15
MÉXICO,UNIVERSIDAD DIGITAL DEL ESTADO DE MÉXICO,"UNIVERSIDAD DIGITAL DEL ESTADO DE MÉXICO,  PLANTEL ETAC","3,429"
MÉXICO,UNIVERSIDAD DIGITAL DEL ESTADO DE MÉXICO,"UNIVERSIDAD DIGITAL DEL ESTADO DE MÉXICO,  PLANTEL UNAM",425
MÉXICO,UNIVERSIDAD DIGITAL DEL ESTADO DE MÉXICO,"UNIVERSIDAD DIGITAL DEL ESTADO DE MÉXICO, PLANTEL U. DE G.",94
MÉXICO,UNIVERSIDAD ESTATAL DEL VALLE DE ECATEPEC,UNIVERSIDAD ESTATAL DEL VALLE DE ECATEPEC,"4,160"
MÉXICO,UNIVERSIDAD ESTATAL DEL VALLE DE TOLUCA,UNIVERSIDAD ESTATAL DEL VALLE DE TOLUCA - PLANTEL AMANALCO,229
MÉXICO,UNIVERSIDAD ESTATAL DEL VALLE DE TOLUCA,UNIVERSIDAD ESTATAL DEL VALLE DE TOLUCA - PLANTEL OCOYOACAC,"1,387"
MÉXICO,UNIVERSIDAD EUROPEA,UNIVERSIDAD EUROPEA - CAMPUS ECATEPEC,194
MÉXICO,"UNIVERSIDAD FRANCO MEXICANA, S.C.","UNIVERSIDAD FRANCO MEXICANA, S.C.",97
MÉXICO,"UNIVERSIDAD FRANCO MEXICANA, S.C.","UNIVERSIDAD FRANCO MEXICANA, S.C. - PLANTEL NORTE",15
MÉXICO,UNIVERSIDAD ICEL,UNIVERSIDAD ICEL - CAMPUS COACALCO,373
MÉXICO,UNIVERSIDAD ICEL,UNIVERSIDAD ICEL - CAMPUS CUAUTITLÁN IZCALLI,424
MÉXICO,UNIVERSIDAD ICEL,UNIVERSIDAD ICEL - CAMPUS LOMAS VERDES,435
MÉXICO,UNIVERSIDAD INACE,UNIVERSIDAD INACE - CAMPUS ACAMBAY,"1,390"
MÉXICO,UNIVERSIDAD INACE,UNIVERSIDAD INACE - CAMPUS TEOTIHUACÁN,60
MÉXICO,UNIVERSIDAD INACE,UNIVERSIDAD INACE - CAMPUS ZUMPANGO,642
MÉXICO,UNIVERSIDAD INNOVA,UNIVERSIDAD INNOVA,545
MÉXICO,UNIVERSIDAD INSURGENTES,UNIVERSIDAD INSURGENTES - PLANTEL CHALCO,577
MÉXICO,UNIVERSIDAD INSURGENTES,UNIVERSIDAD INSURGENTES - PLANTEL COACALCO,554
MÉXICO,UNIVERSIDAD INSURGENTES,UNIVERSIDAD INSURGENTES - PLANTEL CUAUTITLÁN,593
MÉXICO,UNIVERSIDAD INSURGENTES,UNIVERSIDAD INSURGENTES - PLANTEL ECATEPEC,"1,136"
MÉXICO,UNIVERSIDAD INSURGENTES,UNIVERSIDAD INSURGENTES - PLANTEL ORIENTE,576
MÉXICO,UNIVERSIDAD INSURGENTES,UNIVERSIDAD INSURGENTES - PLANTEL TLALNEPANTLA,"1,643"
MÉXICO,UNIVERSIDAD INSURGENTES,UNIVERSIDAD INSURGENTES - PLANTEL TOLUCA,"1,152"
MÉXICO,UNIVERSIDAD INSURGENTES,UNIVERSIDAD INSURGENTES - PLANTEL TOREO,"1,620"
MÉXICO,UNIVERSIDAD INSURGENTES,UNIVERSIDAD INSURGENTES - PLANTEL VÍA MORELOS,653
MÉXICO,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO - CAMPUS TEJUPILCO,472
MÉXICO,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO - CAMPUS TLALNEPANTLA,886
MÉXICO,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO - CAMPUS TOLUCA,734
MÉXICO,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO - SEDE VALLE DE CHALCO,548
MÉXICO,UNIVERSIDAD INTERCULTURAL DEL ESTADO DE MÉXICO,UNIVERSIDAD INTERCULTURAL DEL ESTADO DE MÉXICO,"1,740"
MÉXICO,"UNIVERSIDAD ISIDRO FABELA DE TOLUCA, S.C.",UNIVERSIDAD ISIDRO FABELA DE TOLUCA S.C. PSICOLOGÍA,316
MÉXICO,UNIVERSIDAD JUSTO SIERRA,UNIVERSIDAD JUSTO SIERRA - PLANTEL SAN MATEO,129
MÉXICO,"UNIVERSIDAD LA SALLE, A.C. - NEZAHUALCÓYOTL","UNIVERSIDAD LA SALLE, A.C. - NEZAHUALCÓYOTL","1,909"
MÉXICO,"UNIVERSIDAD LATINOAMERICANA, S.C.","UNIVERSIDAD LATINOAMERICANA, S.C. - CAMPUS EJECUTIVO COACALCO",487
MÉXICO,"UNIVERSIDAD LATINOAMERICANA, S.C.","UNIVERSIDAD LATINOAMERICANA, S.C. - CAMPUS EJECUTIVO CUAUTITLÁN",0
MÉXICO,"UNIVERSIDAD LATINOAMERICANA, S.C.","UNIVERSIDAD LATINOAMERICANA, S.C. - CAMPUS EJECUTIVO METEPEC",388
MÉXICO,"UNIVERSIDAD LATINOAMERICANA, S.C.","UNIVERSIDAD LATINOAMERICANA, S.C. - CAMPUS EJECUTIVO NORTE",268
MÉXICO,"UNIVERSIDAD LATINOAMERICANA, S.C.","UNIVERSIDAD LATINOAMERICANA, S.C. - CAMPUS EJECUTIVO VALLE DORADO",848
MÉXICO,UNIVERSIDAD LUCERNA,UNIVERSIDAD LUCERNA,"1,297"
MÉXICO,UNIVERSIDAD MEXICANA,UNIVERSIDAD MEXICANA - PLANTEL IZCALLI,"7,929"
MÉXICO,UNIVERSIDAD MEXICANA,UNIVERSIDAD MEXICANA - PLANTEL SATÉLITE,"2,894"
MÉXICO,UNIVERSIDAD MEXICANA DE EDUCACIÓN A DISTANCIA,UNIVERSIDAD MEXICANA DE EDUCACIÓN A DISTANCIA,34
MÉXICO,UNIVERSIDAD MEXICANA DE INNOVACIÓN EN NEGOCIOS,UNIVERSIDAD MEXICANA DE INNOVACIÓN EN NEGOCIOS,107
MÉXICO,UNIVERSIDAD MEXIQUENSE,UNIVERSIDAD MEXIQUENSE,263
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES ACAMBAY,194
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES ALMOLOYA DE ALQUISIRAS,164
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES AMATEPEC,19
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES ATENCO,535
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES CHALCO,454
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES COATEPEC HARINAS,294
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES ECATEPEC,"1,100"
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES EL ORO,570
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES HUIXQUILUCAN,482
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES IXTAPALUCA,"1,216"
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES IXTLAHUACA,582
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES JILOTEPEC,899
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES JIQUIPILCO,274
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES LA PAZ,384
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES LERMA,879
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES LUVIANOS,45
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES MORELOS,139
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES SAN JOSE DEL RINCÓN,171
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES SULTEPEC,179
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES TECÁMAC,475
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES TEJUPILCO,297
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES TEMASCALCINGO,118
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES TEMOAYA,426
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES TENANGO DEL VALLE,417
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES TEPOTZOTLÁN,665
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES TLATLAYA,279
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES TULTEPEC,847
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES TULTITLAN,862
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES VILLA DEL CARBÓN,364
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES VILLA VICTORIA,548
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIDAD DE ESTUDIOS SUPERIORES XALATLACO,238
MÉXICO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,UNIVERSIDAD MEXIQUENSE DEL BICENTENARIO,317
MÉXICO,UNIVERSIDAD MONTE ALBÁN S.C.,UNIVERSIDAD MONTE ALBÁN S.C.,21
MÉXICO,UNIVERSIDAD MULTICULTURAL CUDEC,UNIVERSIDAD MULTICULTURAL CUDEC,"2,345"
MÉXICO,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO - FACULTAD DE ESTUDIOS SUPERIORES ACATLÁN,"24,172"
MÉXICO,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO - FACULTAD DE ESTUDIOS SUPERIORES ARAGÓN,"21,577"
MÉXICO,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO - FACULTAD DE ESTUDIOS SUPERIORES CUAUTITLÁN,"17,706"
MÉXICO,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO - FACULTAD DE ESTUDIOS SUPERIORES IZTACALA,"17,428"
MÉXICO,UNIVERSIDAD OPARIN S. C.,UNIVERSIDAD OPARIN S. C.,730
MÉXICO,UNIVERSIDAD PARA LA PROFESIONALIZACIÓN EDUCATIVA S. C.,UNIVERSIDAD PARA LA PROFESIONALIZACIÓN EDUCATIVA S. C.,59
MÉXICO,UNIVERSIDAD POLITÉCNICA DE ATLACOMULCO,UNIVERSIDAD POLITÉCNICA DE ATLACOMULCO,796
MÉXICO,UNIVERSIDAD POLITÉCNICA DE ATLAUTLA,UNIVERSIDAD POLITÉCNICA DE ATLAUTLA,707
MÉXICO,UNIVERSIDAD POLITÉCNICA DE CHIMALHUACÁN,UNIVERSIDAD POLITÉCNICA DE CHIMALHUACÁN,768
MÉXICO,UNIVERSIDAD POLITÉCNICA DE CUAUTITLÁN IZCALLI,UNIVERSIDAD POLITÉCNICA DE CUAUTITLÁN IZCALLI,715
MÉXICO,UNIVERSIDAD POLITÉCNICA DE OTZOLOTEPEC,UNIVERSIDAD POLITÉCNICA DE OTZOLOTEPEC,484
MÉXICO,UNIVERSIDAD POLITÉCNICA DE TECÁMAC,UNIVERSIDAD POLITÉCNICA DE TECÁMAC,"2,192"
MÉXICO,UNIVERSIDAD POLITÉCNICA DE TEXCOCO,UNIVERSIDAD POLITÉCNICA DE TEXCOCO,"1,745"
MÉXICO,UNIVERSIDAD POLITÉCNICA DEL VALLE DE MÉXICO,UNIVERSIDAD POLITÉCNICA DEL VALLE DE MÉXICO,"5,176"
MÉXICO,UNIVERSIDAD POLITÉCNICA DEL VALLE DE TOLUCA,UNIVERSIDAD POLITÉCNICA DEL VALLE DE TOLUCA,"4,025"
MÉXICO,UNIVERSIDAD PRIVADA DEL ESTADO DE MÉXICO,UNIVERSIDAD PRIVADA DEL ESTADO DE MÉXICO - PLANTEL PIRÁMIDES,229
MÉXICO,UNIVERSIDAD PRIVADA DEL ESTADO DE MÉXICO,UNIVERSIDAD PRIVADA DEL ESTADO DE MÉXICO PLANTEL - ECATEPEC,"2,308"
MÉXICO,UNIVERSIDAD PRIVADA DEL ESTADO DE MÉXICO,UNIVERSIDAD PRIVADA DEL ESTADO DE MÉXICO PLANTEL - IXTAPALUCA,742
MÉXICO,UNIVERSIDAD PRIVADA DEL ESTADO DE MÉXICO,UNIVERSIDAD PRIVADA DEL ESTADO DE MÉXICO PLANTEL - TECÁMAC,"1,985"
MÉXICO,UNIVERSIDAD PRIVADA DEL ESTADO DE MÉXICO,UNIVERSIDAD PRIVADA DEL ESTADO DE MÉXICO PLANTEL - TEXCOCO,"1,119"
MÉXICO,UNIVERSIDAD PRIVADA DEL ESTADO DE MÉXICO,UNIVERSIDAD PRIVADA DEL ESTADO DE MÉXICO PLANTEL - TEXCOCO II,65
MÉXICO,UNIVERSIDAD TECNOLÓGICA DE MÉXICO,UNIVERSIDAD TECNOLÓGICA DE MÉXICO - CAMPUS ATIZAPÁN,"8,722"
MÉXICO,UNIVERSIDAD TECNOLÓGICA DE MÉXICO,UNIVERSIDAD TECNOLÓGICA DE MÉXICO - CAMPUS ECATEPEC,"8,330"
MÉXICO,UNIVERSIDAD TECNOLÓGICA DE MÉXICO,UNIVERSIDAD TECNOLÓGICA DE MÉXICO - CAMPUS LOS REYES,"1,938"
MÉXICO,UNIVERSIDAD TECNOLÓGICA DE MÉXICO,UNIVERSIDAD TECNOLÓGICA DE MÉXICO - CAMPUS TOLUCA,"5,599"
MÉXICO,UNIVERSIDAD TECNOLÓGICA DE NEZAHUALCÓYOTL,UNIVERSIDAD TECNOLÓGICA DE NEZAHUALCÓYOTL,"5,232"
MÉXICO,UNIVERSIDAD TECNOLÓGICA DE TECÁMAC,UNIVERSIDAD TECNOLÓGICA DE TECÁMAC,"5,859"
MÉXICO,UNIVERSIDAD TECNOLÓGICA DE ZINACANTEPEC,UNIVERSIDAD TECNOLÓGICA DE ZINACANTEPEC,902
MÉXICO,UNIVERSIDAD TECNOLÓGICA DEL SUR DEL ESTADO DE MÉXICO,UNIVERSIDAD TECNOLÓGICA DEL SUR DEL ESTADO DE MÉXICO,"1,451"
MÉXICO,UNIVERSIDAD TECNOLÓGICA DEL VALLE DE TOLUCA,UNIVERSIDAD TECNOLÓGICA DEL VALLE DE TOLUCA,"5,087"
MÉXICO,UNIVERSIDAD TECNOLÓGICA DEL VALLE DE TOLUCA,UNIVERSIDAD TECNOLÓGICA DEL VALLE DE TOLUCA - UNIDAD ACADEMICA DE CAPULHUAC,173
MÉXICO,UNIVERSIDAD TECNOLÓGICA EL PUERTO,UNIVERSIDAD TECNOLÓGICA EL PUERTO,478
MÉXICO,UNIVERSIDAD TECNOLÓGICA FIDEL VELÁZQUEZ,UNIVERSIDAD TECNOLÓGICA FIDEL VELÁZQUEZ,"5,782"
MÉXICO,UNIVERSIDAD TECNOLÓGICA IBEROAMERICANA S. C.,CENTRO UNIVERSITARIO IBEROAMERICANO,120
MÉXICO,UNIVERSIDAD TECNOLÓGICA IBEROAMERICANA S. C.,"UNIVERSIDAD TECNOLÓGICA IBEROAMERICANA, S.C.",638
MÉXICO,UNIVERSIDAD TECNOLÓGICA LATINOAMERICANA EN LÍNEA,UNIVERSIDAD TECNOLÓGICA LATINOAMERICANA EN LÍNEA,205
MÉXICO,UNIVERSIDAD TELETÓN,UNIVERSIDAD TELETÓN,295
MÉXICO,UNIVERSIDAD TERRANOVA,UNIVERSIDAD TERRANOVA,15
MÉXICO,UNIVERSIDAD TRES CULTURAS,UNIVERSIDAD TRES CULTURAS - PLANTEL ATIZAPÁN,108
MÉXICO,UNIVERSIDAD TRES CULTURAS,UNIVERSIDAD TRES CULTURAS - PLANTEL COACALCO,"1,269"
MÉXICO,UNIVERSIDAD TRES CULTURAS,UNIVERSIDAD TRES CULTURAS - PLANTEL CUAUTITLÁN,240
MÉXICO,UNIVERSIDAD TRES CULTURAS,UNIVERSIDAD TRES CULTURAS - PLANTEL NEZAHUALCÓYOTL,"3,023"
MÉXICO,UNIVERSIDAD TRES CULTURAS,UNIVERSIDAD TRES CULTURAS - PLANTEL TOLUCA,580
MÉXICO,UNIVERSIDAD UNIVER,UNIVERSIDAD UNIVER - MILENIUM PLANTEL CHALCO,368
MÉXICO,UNIVERSIDAD UNIVER,UNIVERSIDAD UNIVER - MILENIUM PLANTEL CIENCIAS DE LA SALUD,277
MÉXICO,UNIVERSIDAD UNIVER,UNIVERSIDAD UNIVER - MILENIUM PLANTEL CUAUTITLÁN,587
MÉXICO,UNIVERSIDAD UNIVER,UNIVERSIDAD UNIVER - MILENIUM PLANTEL ECATEPEC,"1,188"
MÉXICO,UNIVERSIDAD UNIVER,UNIVERSIDAD UNIVER - MILENIUM PLANTEL IXTAPALUCA,"1,523"
MÉXICO,UNIVERSIDAD UNIVER,UNIVERSIDAD UNIVER - MILENIUM PLANTEL NEZAHUALCÓYOTL,"1,419"
MÉXICO,UNIVERSIDAD UNIVER,UNIVERSIDAD UNIVER - MILENIUM PLANTEL TOLUCA,"4,027"
MÉXICO,UNIVERSIDAD UNIVER,UNIVERSIDAD UNIVER - MILENIUM PLANTEL TOLUCA - HIDALGO,"2,541"
MÉXICO,UNIVERSIDAD VILLANUEVA MONTAÑO,UNIVERSIDAD VILLANUEVA MONTAÑO - CAMPUS TENANCINGO,"1,266"
MÉXICO,VISIONARIOS HERBART,VISIONARIOS HERBART,153
MÉXICO,CENTRO UNIVERSITARIO DE TEXCOCO FRANCISCO FERREIRA Y ARREOLA,CENTRO UNIVERSITARIO DE TEXCOCO FRANCISCO FERREIRA Y ARREOLA,16
MÉXICO,INSTITUTO SUPERIOR DE MECÁNICA AUTOMOTRIZ,INSTITUTO SUPERIOR DE MECÁNICA AUTOMOTRIZ,40
MÉXICO,COLEGIO INTERAMERICANO BARNARD DEL PACÍFICO S.C.,COLEGIO INTERAMERICANO BARNARD DEL PACÍFICO S.C.,222
MÉXICO,ESCUELA DE ESTUDIOS SUPERIORES SAYAM,ESCUELA DE ESTUDIOS SUPERIORES SAYAM,236
MÉXICO,CENTRO DE ESTUDIOS GASTRONÓMICOS AMECAMECA,CENTRO DE ESTUDIOS GASTRONÓMICOS AMECAMECA,16
MÉXICO,INSTITUTO DE ESTUDIOS TÉCNICOS OSMAR,INSTITUTO DE ESTUDIOS TÉCNICOS OSMAR,125
MÉXICO,INSTITUTO UNIVERSITARIO MUNDO ABIERTO,INSTITUTO UNIVERSITARIO MUNDO ABIERTO,112
MÉXICO,CENTRO UNIVERSITARIO PARA ADMINISTRACIÓN DE NEGOCIOS S.C,CENTRO UNIVERSITARIO PARA ADMINISTRACIÓN DE NEGOCIOS S.C,6
MÉXICO,ESCUELA DE ESTUDIOS PROFESIONALES DEL VALLE DE MÉXICO,ESCUELA DE ESTUDIOS PROFESIONALES DEL VALLE DE MÉXICO,24
MÉXICO,LICEO UNIVERSITARIO MÉXICO,LICEO UNIVERSITARIO MÉXICO,22
MICHOACÁN,AQUILES CÓRDOVA MORAN,AQUILES CÓRDOVA MORAN,227
MICHOACÁN,CENTRO DE ACTUALIZACIÓN DEL MAGISTERIO EN MICHOACÁN,CENTRO DE ACTUALIZACIÓN DEL MAGISTERIO EN MICHOACÁN,254
MICHOACÁN,CENTRO DE APRENDIZAJE Y SUPERACIÓN,CENTRO DE APRENDIZAJE Y SUPERACIÓN,250
MICHOACÁN,CENTRO DE ESTUDIOS ACADÉMICOS DE ZACAPU,CENTRO DE ESTUDIOS ACADÉMICOS DE ZACAPU,44
MICHOACÁN,CENTRO DE ESTUDIOS DE POSGRADO Y EDUCACIÓN CONTINUA EN ODONTOLOGÍA,CENTRO DE ESTUDIOS DE POSGRADO Y EDUCACIÓN CONTINUA EN ODONTOLOGÍA,48
MICHOACÁN,CENTRO DE ESTUDIOS DR. J. JESÚS SILVA,CENTRO DE ESTUDIOS DR. J. JESÚS SILVA,80
MICHOACÁN,CENTRO DE ESTUDIOS SUPERIORES DE LAS CULTURAS,CENTRO DE ESTUDIOS SUPERIORES DE LAS CULTURAS,676
MICHOACÁN,CENTRO DE ESTUDIOS SUPERIORES DEL ORIENTE DE MICHOACÁN,CENTRO DE ESTUDIOS SUPERIORES DEL ORIENTE DE MICHOACÁN - PLANTEL MARAVATÍO,482
MICHOACÁN,CENTRO DE ESTUDIOS SUPERIORES DEL ORIENTE DE MICHOACÁN,CENTRO DE ESTUDIOS SUPERIORES DEL ORIENTE DE MICHOACÁN - PLANTEL ZITÁCUARO,200
MICHOACÁN,CENTRO DE ESTUDIOS SUPERIORES IGNACIO LOPEZ RAYÓN,CENTRO DE ESTUDIOS SUPERIORES IGNACIO LOPEZ RAYÓN,118
MICHOACÁN,CENTRO DE ESTUDIOS SUPERIORES JOSE VASCONCELOS,CENTRO DE ESTUDIOS SUPERIORES JOSE VASCONCELOS,66
MICHOACÁN,CENTRO DE ESTUDIOS SUPERIORES JUSTO SIERRA,CENTRO DE ESTUDIOS SUPERIORES JUSTO SIERRA,179
MICHOACÁN,CENTRO DE ESTUDIOS SUPERIORES MICHOACÁN,CENTRO DE ESTUDIOS SUPERIORES MICHOACÁN,91
MICHOACÁN,CENTRO DE ESTUDIOS SUPERIORES PRIMERO DE MAYO,CENTRO DE ESTUDIOS SUPERIORES PRIMERO DE MAYO,9
MICHOACÁN,CENTRO DE ESTUDIOS SUPERIORES SOR JUANA INÉS DE LA CRUZ,CENTRO DE ESTUDIOS SUPERIORES SOR JUANA INÉS DE LA CRUZ,6
MICHOACÁN,CENTRO DE ESTUDIOS UNIVERSITARIOS MAHATMA GANDHI,CENTRO DE ESTUDIOS UNIVERSITARIOS MAHATMA GANDHI,5
