ESTADO,UNIVERSIDAD,CAMPUS,Matricula_Total
BAJA CALIFORNIA,CENTRO DE ESTUDIOS SUPERIORES EN CIENCIAS ADMINISTRATIVAS CESCA,CENTRO DE ESTUDIOS SUPERIORES EN CIENCIAS ADMINISTRATIVAS CESCA - PLANTEL EDUCATIVO MARIANO,32
BAJA CALIFORNIA,CENTRO DE ESTUDIOS SUPERIORES EN CIENCIAS PENALES A.C.,"CENTRO DE ESTUDIOS SUPERIORES EN CIENCIAS PENALES, A.C.",291
BAJA CALIFORNIA,CENTRO DE ESTUDIOS SUPERIORES METROPOLITANO DE AGUA CALIENTE,CENTRO DE ESTUDIOS SUPERIORES METROPOLITANO DE AGUA CALIENTE,38
BAJA CALIFORNIA,CENTRO DE ESTUDIOS SUPERIORES NUEVA BAJA,CENTRO DE ESTUDIOS SUPERIORES NUEVA BAJA,242
BAJA CALIFORNIA,"CENTRO DE ESTUDIOS SUPERIORES, CULINARY ART SCHOOL","CENTRO DE ESTUDIOS SUPERIORES, CULINARY ART SCHOOL",154
BAJA CALIFORNIA,CENTRO DE ESTUDIOS UNIVERSITARIOS 16 DE SEPTIEMBRE,CENTRO DE ESTUDIOS UNIVERSITARIOS 16 DE SEPTIEMBRE,"2,700"
BAJA CALIFORNIA,CENTRO DE ESTUDIOS UNIVERSITARIOS DE BAJA CALIFORNIA,CENTRO DE ESTUDIOS UNIVERSITARIOS DE BAJA CALIFORNIA - PLANTEL ROSARITO,0
BAJA CALIFORNIA,CENTRO DE ESTUDIOS UNIVERSITARIOS DE MEXICALI,CENTRO DE ESTUDIOS UNIVERSITARIOS DE MEXICALI,207
BAJA CALIFORNIA,CENTRO DE ESTUDIOS UNIVERSITARIOS DE MEXICALI,CENTRO DE ESTUDIOS UNIVERSITARIOS DE MEXICALI - PLANTEL ROSARITO,595
BAJA CALIFORNIA,CENTRO DE ESTUDIOS UNIVERSITARIOS DE MEXICALI,CENTRO DE ESTUDIOS UNIVERSITARIOS DE MEXICALI - PLANTEL TECATE,597
BAJA CALIFORNIA,CENTRO DE ESTUDIOS UNIVERSITARIOS DE MEXICALI,CENTRO DE ESTUDIOS UNIVERSITARIOS DE MEXICALI - PLANTEL TIJUANA,18
BAJA CALIFORNIA,CENTRO DE ESTUDIOS UNIVERSITARIOS ITECI,CENTRO DE ESTUDIOS UNIVERSITARIOS ITECI,678
BAJA CALIFORNIA,CENTRO DE ESTUDIOS UNIVERSITARIOS XOCHICALCO,CENTRO DE ESTUDIOS UNIVERSITARIOS XOCHICALCO,"6,330"
BAJA CALIFORNIA,CENTRO DE INVESTIGACIÓN CIENTÍFICA Y DE EDUCACIÓN SUPERIOR DE ENSENADA,DIVISIÓN DE BIOLOGÍA EXPERIMENTAL Y APLICADA,113
BAJA CALIFORNIA,CENTRO DE INVESTIGACIÓN CIENTÍFICA Y DE EDUCACIÓN SUPERIOR DE ENSENADA,DIVISIÓN DE CIENCIAS DE LA TIERRA,81
BAJA CALIFORNIA,CENTRO DE INVESTIGACIÓN CIENTÍFICA Y DE EDUCACIÓN SUPERIOR DE ENSENADA,DIVISIÓN DE FÍSICA APLICADA,227
BAJA CALIFORNIA,CENTRO DE INVESTIGACIÓN CIENTÍFICA Y DE EDUCACIÓN SUPERIOR DE ENSENADA,DIVISIÓN DE OCEANOLOGÍA,144
BAJA CALIFORNIA,CENTRO DE INVESTIGACIÓN PARA EL DESARROLLO HUMANO CIDH UNIVERSIDAD,CENTRO DE INVESTIGACIÓN PARA EL DESARROLLO HUMANO CIDH UNIVERSIDAD,93
BAJA CALIFORNIA,CENTRO DE INVESTIGACIÓN Y ESPECIALIDADES ODONTOLÓGICAS DE TIJUANA,CENTRO DE INVESTIGACIÓN Y ESPECIALIDADES ODONTOLÓGICAS DE TIJUANA,176
BAJA CALIFORNIA,CENTRO DE POSGRADO Y ESTUDIOS SOR JUANA,CENTRO DE POSGRADO Y ESTUDIOS SOR JUANA,16
BAJA CALIFORNIA,CENTRO EDUCATIVO CALIFORNIA A.C.,CENTRO EDUCATIVO CALIFORNIA A.C. - SEDE ENSENADA,502
BAJA CALIFORNIA,CENTRO EDUCATIVO CALIFORNIA A.C.,CENTRO EDUCATIVO CALIFORNIA A.C. - SEDE TIJUANA,93
BAJA CALIFORNIA,CENTRO EDUCATIVO PARA LA INFORMACIÓN INTEGRAL EN BAJA CALIFORNIA,CENTRO EDUCATIVO PARA LA INFORMACIÓN INTEGRAL EN BAJA CALIFORNIA,17
BAJA CALIFORNIA,"CENTRO INTERNACIONAL DE ESTUDIOS SUPERIORES, A.C.","CENTRO INTERNACIONAL DE ESTUDIOS SUPERIORES, A.C.",218
BAJA CALIFORNIA,CENTRO SUPERIOR DE PEDAGOGÍA MENTOR MEXICANO,CENTRO SUPERIOR DE PEDAGOGÍA MENTOR MEXICANO,40
BAJA CALIFORNIA,CENTRO TECNOLÓGICO SIGLO XXI FUNDADORES,CENTRO TECNOLÓGICO SIGLO XXI FUNDADORES,77
BAJA CALIFORNIA,CENTRO UNIVERSITARIO DE BAJA CALIFORNIA,CENTRO UNIVERSITARIO DE BAJA CALIFORNIA,516
BAJA CALIFORNIA,CENTRO UNIVERSITARIO DEL PACÍFICO,CENTRO UNIVERSITARIO DEL PACÍFICO,567
BAJA CALIFORNIA,"CINEO, INSTITUTO DE EDUCACIÓN Y DESARROLLO PROFESIONAL DE ODONTOLOGÍA","CINEO, INSTITUTO DE EDUCACIÓN Y DESARROLLO PROFESIONAL DE ODONTOLOGÍA",18
BAJA CALIFORNIA,COLEGIO GASTRONÓMICO DE LA BAJA,COLEGIO GASTRONÓMICO DE LA BAJA,35
BAJA CALIFORNIA,"EL COLEGIO DE LA FRONTERA NORTE, A.C.","COLEGIO DE LA FRONTERA NORTE, A.C.",236
BAJA CALIFORNIA,ESCUELA DE DANZA GLORIA CAMPOBELLO,ESCUELA DE DANZA GLORIA CAMPOBELLO,22
BAJA CALIFORNIA,ESCUELA DE DISEÑO DE MODAS DE BAJA CALIFORNIA,ESCUELA DE DISEÑO DE MODAS DE BAJA CALIFORNIA,70
BAJA CALIFORNIA,ESCUELA DE EDUCACIÓN SUPERIOR MADRE TERESA,ESCUELA DE EDUCACIÓN SUPERIOR MADRE TERESA,51
BAJA CALIFORNIA,ESCUELA DE ENFERMERÍA DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL,ESCUELA DE ENFERMERÍA DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL - BAJA CALIFORNIA,287
BAJA CALIFORNIA,ESCUELA DE ENFERMERÍA FLORENCIA NIGHTINGALE DE BAJA CALIFORNIA,ESCUELA DE ENFERMERÍA FLORENCIA NIGHTINGALE DE BAJA CALIFORNIA,261
BAJA CALIFORNIA,ESCUELA DE FORMACIÓN ESCÉNICO VOCAL JA SIT,ESCUELA DE FORMACIÓN ESCÉNICO VOCAL JA SIT,26
BAJA CALIFORNIA,ESCUELA DE NEGOCIOS DE BAJA CALIFORNIA,ESCUELA DE NEGOCIOS DE BAJA CALIFORNIA,9
BAJA CALIFORNIA,ESCUELA DE TRABAJO SOCIAL DE TIJUANA,ESCUELA DE TRABAJO SOCIAL,38
BAJA CALIFORNIA,ESCUELA DEL PACIFICO,ESCUELA DEL PACIFICO,332
BAJA CALIFORNIA,ESCUELA LIBRE DE ARQUITECTURA,ESCUELA LIBRE DE ARQUITECTURA,54
BAJA CALIFORNIA,ESCUELA LIBRE DE DERECHO DE OCCIDENTE VILLAR BORJA,ESCUELA LIBRE DE DERECHO DE OCCIDENTE VILLAR BORJA,73
BAJA CALIFORNIA,ESCUELA NORMAL EXPERIMENTAL,ESCUELA NORMAL EXPERIMENTAL,170
BAJA CALIFORNIA,ESCUELA NORMAL FRONTERIZA TIJUANA,ESCUELA NORMAL FRONTERIZA TIJUANA,848
BAJA CALIFORNIA,ESCUELA NORMAL LUZ MARÍA CHAPELA,ESCUELA NORMAL LUZ MARIA CHAPELA,117
BAJA CALIFORNIA,ESCUELA NORMAL PARTICULAR AUTORIZADA COLEGIO ENSENADA,ESCUELA NORMAL PARTICULAR AUTORIZADA COLEGIO ENSENADA,8
BAJA CALIFORNIA,ESCUELA NORMAL PARTICULAR INCORPORADA,COLEGIO DE ENSENADA,195
BAJA CALIFORNIA,ESCUELA NORMAL PROF. GREGORIO TORRES QUINTERO,NORMAL EXPERIMENTAL PROF. GREGORIO TORRES QUINTERO,199
BAJA CALIFORNIA,ESCUELA NORMAL URBANA FEDERAL DE EDUCACIÓN PRESCOLAR ESTEFANÍA CASTAÑEDA Y NUEZ DE CÁCERES,ESCUELA NORMAL ESTEFANÍA CASTAÑEDA Y NUEZ DE CÁCERES,152
BAJA CALIFORNIA,ESCUELA NORMAL URBANA NOCTURNA,ESCUELA NORMAL URBANA NOCTURNA,136
BAJA CALIFORNIA,ESCUELA SUPERIOR DE ARTES VISUALES,ESCUELA SUPERIOR DE ARTES VISUALES,44
BAJA CALIFORNIA,"ESCUELA SUPERIOR DE COMERCIO EXTERIOR, A.C.","ESCUELA SUPERIOR DE COMERCIO EXTERIOR, A.C.",483
BAJA CALIFORNIA,ESCUELA SUPERIOR DE MÚSICA DE BAJA CALIFORNIA,ESCUELA SUPERIOR DE MÚSICA DE BAJA CALIFORNIA,10
BAJA CALIFORNIA,"ESPACIO, CENTRO DE PSICOLOGÍA Y SEXOLOGÍA INTEGRATIVA","ESPACIO, CENTRO DE PSICOLOGÍA Y SEXOLOGÍA INTEGRATIVA - CAMPUS MEXICALI",10
